date,open,high,low,close,volume,prior_252_high,breakout_close_ge,vol_sma20,volume_ok,atr14_sma,atr14_wilder,nifty_close,market_ok,labs_buy_signal
2025-08-12,2678.0,2687.0,2560.0,2588.7,141456.0,3515.7,0,91524.4,1,102.73571428571434,96.36315367806353,22568.6,False,0
2025-08-13,2605.0,2789.0,2597.9,2772.6,421339.0,3515.7,0,110299.4,1,111.47857142857148,103.78721412963043,22698.1,False,0
2025-08-14,2772.6,2782.1,2687.2,2769.6,116849.0,3515.7,0,113824.3,1,111.14285714285721,103.15241312037111,22680.25,False,0
2025-08-15,2772.6,2782.1,2687.2,2769.6,116849.0,3515.7,0,117040.45,0,111.53571428571435,102.5629550403446,,,0
2025-08-18,2774.4,2815.0,2701.0,2794.1,189209.0,3515.7,0,123799.3,1,112.87142857142862,103.37988682317713,22931.5,,0
2025-08-19,2800.0,2829.9,2746.1,2807.2,127746.0,3515.7,0,127428.25,1,115.30000000000005,101.98132347866449,23066.6,,0
2025-08-20,2825.0,2854.9,2763.3,2781.3,114680.0,3515.7,0,130221.3,0,117.35000000000004,101.2398003730456,23143.15,,0
2025-08-21,2785.0,2824.3,2756.0,2780.4,109925.0,3515.7,0,132271.1,0,101.2071428571429,98.88695748925663,23137.15,,0
2025-08-22,2767.0,2806.6,2752.6,2798.8,39428.0,3515.7,0,128464.35,0,97.31428571428576,95.68074624002402,22991.3,,0
2025-08-25,2802.5,2869.0,2790.0,2802.1,132460.0,3515.7,0,132344.6,1,96.96428571428575,94.4892643657366,23052.0,,0
2025-08-26,2802.5,2835.0,2752.6,2789.4,180296.0,3515.7,0,136410.95,1,94.94285714285719,93.62574548246971,22768.65,,0
2025-08-27,2802.5,2835.0,2752.6,2789.4,180296.0,3515.7,0,140581.9,1,94.40714285714292,92.82390651943616,,,0
2025-08-28,2765.0,2792.7,2725.5,2749.2,145917.0,3515.7,0,144585.8,1,95.81428571428576,90.99362748233357,22541.65,,0
2025-08-29,2751.0,2815.0,2751.0,2785.0,70828.0,3515.7,0,133990.4,0,93.26428571428576,89.19408266216689,22462.95,,0
